age;workart;grade;married;position;familiyperson;color;sex;workhours;earning
43;Private;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Female;40;<=50K
35;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male;60;<=50K
40;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male;50;>50K
20;Private;11th;Married-civ-spouse;Handlers-cleaners;Other-relative;White;Male;35;<=50K
47;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;<=50K
40;Private;Assoc-acdm;Divorced;Prof-specialty;Not-in-family;White;Male;50;<=50K
20;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Male;40;<=50K
75;?;Some-college;Married-civ-spouse;?;Husband;White;Male;13;<=50K
25;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female;40;<=50K
47;Private;Assoc-voc;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
29;Self-emp-not-inc;Assoc-acdm;Widowed;Sales;Unmarried;White;Female;40;>50K
34;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;45;<=50K
45;State-gov;Bachelors;Separated;Prof-specialty;Not-in-family;White;Female;40;<=50K
23;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;50;<=50K
46;Private;Assoc-acdm;Widowed;Adm-clerical;Unmarried;White;Female;40;<=50K
41;State-gov;Some-college;Divorced;Machine-op-inspct;Not-in-family;Black;Female;38;<=50K
29;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
17;Private;11th;Never-married;Handlers-cleaners;Own-child;Amer-Indian-Eskimo;Male;20;<=50K
39;Private;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
37;Private;HS-grad;Never-married;Machine-op-inspct;Unmarried;Black;Female;40;<=50K
34;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;Black;Male;40;<=50K
20;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;40;<=50K
18;?;HS-grad;Never-married;?;Own-child;Asian-Pac-Islander;Female;38;<=50K
52;Private;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
42;Local-gov;Assoc-acdm;Married-civ-spouse;Prof-specialty;Wife;Amer-Indian-Eskimo;Female;40;<=50K
22;Private;5th-6th;Married-civ-spouse;Craft-repair;Husband;White;Male;35;<=50K
66;State-gov;Some-college;Divorced;Exec-managerial;Not-in-family;White;Female;55;<=50K
35;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;65;<=50K
40;Local-gov;Assoc-acdm;Never-married;Prof-specialty;Not-in-family;White;Male;40;>50K
21;Private;HS-grad;Divorced;Sales;Unmarried;Amer-Indian-Eskimo;Female;38;<=50K
51;Local-gov;HS-grad;Divorced;Protective-serv;Unmarried;White;Male;52;<=50K
34;Private;10th;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
24;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
43;Private;Bachelors;Married-spouse-absent;Adm-clerical;Unmarried;White;Female;40;<=50K
34;Private;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;>50K
42;Local-gov;Masters;Never-married;Prof-specialty;Unmarried;White;Female;40;<=50K
41;Private;Assoc-voc;Never-married;Craft-repair;Not-in-family;White;Male;30;<=50K
21;Private;HS-grad;Never-married;Transport-moving;Own-child;White;Female;40;<=50K
64;Local-gov;7th-8th;Married-civ-spouse;Protective-serv;Husband;White;Male;10;<=50K
24;Federal-gov;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
23;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;10;<=50K
29;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;50;<=50K
44;Self-emp-not-inc;HS-grad;Divorced;Exec-managerial;Unmarried;White;Female;60;<=50K
28;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;55;<=50K
33;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;50;>50K
35;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
41;Private;10th;Married-spouse-absent;Craft-repair;Not-in-family;White;Female;40;<=50K
42;Private;Bachelors;Married-civ-spouse;Sales;Husband;Black;Male;40;>50K
51;Self-emp-not-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;99;>50K
32;Private;11th;Never-married;Other-service;Unmarried;Black;Female;40;<=50K
37;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male;40;<=50K
18;Private;11th;Never-married;Sales;Own-child;White;Female;25;<=50K
24;Private;Assoc-voc;Never-married;Other-service;Own-child;White;Female;35;<=50K
29;?;Some-college;Divorced;?;Unmarried;White;Female;40;<=50K
45;Private;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;<=50K
52;Federal-gov;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;45;>50K
35;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female;40;<=50K
46;Self-emp-inc;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Female;50;<=50K
63;Private;HS-grad;Widowed;Exec-managerial;Unmarried;White;Male;50;>50K
32;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Wife;White;Female;35;>50K
24;Private;HS-grad;Never-married;Other-service;Own-child;White;Female;15;<=50K
72;?;Some-college;Married-civ-spouse;?;Husband;White;Male;32;<=50K
35;?;Some-college;Never-married;?;Unmarried;White;Male;10;<=50K
29;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
35;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;50;>50K
70;Private;10th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;32;<=50K
65;?;Bachelors;Married-civ-spouse;?;Husband;White;Male;48;>50K
36;Private;HS-grad;Never-married;Machine-op-inspct;Not-in-family;White;Female;30;<=50K
53;Private;HS-grad;Married-civ-spouse;Other-service;Husband;Black;Male;30;>50K
49;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;40;<=50K
60;Private;Prof-school;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
18;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male;40;<=50K
21;Private;Some-college;Never-married;Other-service;Own-child;White;Male;35;<=50K
42;Private;10th;Never-married;Transport-moving;Not-in-family;Black;Male;40;<=50K
25;State-gov;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;37;<=50K
32;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
25;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;60;<=50K
47;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;>50K
30;Private;Assoc-voc;Never-married;Prof-specialty;Not-in-family;White;Female;40;<=50K
21;?;Assoc-acdm;Never-married;?;Own-child;White;Female;40;<=50K
38;Self-emp-not-inc;Bachelors;Married-civ-spouse;Farming-fishing;Husband;White;Male;60;<=50K
34;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;55;<=50K
37;Private;Assoc-acdm;Never-married;Other-service;Not-in-family;White;Female;30;<=50K
56;Private;HS-grad;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;>50K
52;State-gov;Assoc-voc;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;<=50K
23;Private;Bachelors;Never-married;Prof-specialty;Own-child;White;Male;40;<=50K
29;State-gov;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male;42;<=50K
45;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
23;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;40;<=50K
45;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;65;>50K
30;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Male;42;<=50K
45;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;50;<=50K
26;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
23;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
24;Private;Some-college;Never-married;Other-service;Own-child;White;Female;40;<=50K
43;Private;Masters;Widowed;Exec-managerial;Unmarried;White;Male;40;>50K
42;Private;HS-grad;Divorced;Handlers-cleaners;Unmarried;White;Male;40;<=50K
72;Private;Some-college;Widowed;Adm-clerical;Not-in-family;White;Female;25;<=50K
21;?;Some-college;Never-married;?;Own-child;White;Female;40;<=50K
57;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;60;>50K
24;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;45;<=50K
27;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
54;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;40;<=50K
42;Local-gov;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;60;>50K
17;Private;9th;Never-married;Other-service;Own-child;Black;Male;40;<=50K
48;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;55;>50K
39;Private;Bachelors;Divorced;Sales;Not-in-family;White;Female;40;<=50K
41;Self-emp-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;70;>50K
50;Private;7th-8th;Married-civ-spouse;Other-service;Wife;White;Female;35;<=50K
57;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male;45;<=50K
44;Local-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male;36;>50K
20;?;HS-grad;Never-married;?;Not-in-family;White;Female;28;<=50K
49;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;40;<=50K
44;Private;Assoc-acdm;Never-married;Prof-specialty;Unmarried;Black;Female;50;<=50K
42;Private;Assoc-voc;Never-married;Craft-repair;Not-in-family;White;Male;44;<=50K
18;?;Some-college;Never-married;?;Own-child;White;Male;16;<=50K
18;Private;12th;Never-married;Other-service;Own-child;White;Male;18;<=50K
51;Private;HS-grad;Widowed;Tech-support;Unmarried;Black;Female;40;<=50K
28;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;40;<=50K
39;Private;Assoc-acdm;Married-civ-spouse;Exec-managerial;Wife;White;Female;45;>50K
25;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;52;<=50K
41;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;50;>50K
39;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male;40;>50K
42;Self-emp-not-inc;11th;Separated;Other-service;Unmarried;White;Female;30;<=50K
33;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
63;?;10th;Married-civ-spouse;?;Husband;White;Male;40;<=50K
47;Private;Some-college;Divorced;Sales;Unmarried;White;Female;45;>50K
27;Local-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;White;Male;68;<=50K
39;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;45;>50K
20;Private;Some-college;Never-married;Farming-fishing;Own-child;White;Male;40;<=50K
49;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female;40;<=50K
70;?;HS-grad;Married-civ-spouse;?;Husband;White;Male;28;<=50K
46;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;35;<=50K
47;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;30;>50K
35;Private;9th;Never-married;Craft-repair;Not-in-family;White;Male;40;<=50K
24;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male;40;<=50K
22;?;Some-college;Never-married;?;Not-in-family;White;Male;40;<=50K
43;Private;Bachelors;Divorced;Other-service;Not-in-family;White;Female;35;<=50K
60;Local-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
53;Private;11th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;48;>50K
47;Private;Some-college;Divorced;Exec-managerial;Unmarried;White;Female;40;<=50K
34;Private;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
37;Private;Assoc-voc;Never-married;Other-service;Not-in-family;White;Male;40;<=50K
35;Private;HS-grad;Never-married;Other-service;Own-child;White;Male;30;<=50K
23;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Female;40;<=50K
27;?;HS-grad;Married-civ-spouse;?;Own-child;White;Female;15;<=50K
29;Private;HS-grad;Never-married;Transport-moving;Other-relative;White;Male;50;<=50K
23;Private;Some-college;Never-married;Craft-repair;Not-in-family;White;Male;40;<=50K
35;Private;HS-grad;Divorced;Other-service;Not-in-family;White;Female;35;<=50K
18;?;HS-grad;Never-married;?;Own-child;White;Female;12;<=50K
27;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;40;<=50K
56;?;Some-college;Divorced;?;Not-in-family;White;Female;20;<=50K
40;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;70;<=50K
31;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;65;<=50K
18;Private;Some-college;Never-married;Sales;Unmarried;White;Male;40;<=50K
25;Private;Assoc-acdm;Never-married;Prof-specialty;Not-in-family;White;Female;40;<=50K
36;Private;Some-college;Never-married;Protective-serv;Unmarried;Black;Female;40;<=50K
38;Private;10th;Divorced;Craft-repair;Not-in-family;White;Male;40;<=50K
52;Private;HS-grad;Widowed;Craft-repair;Not-in-family;White;Male;40;<=50K
23;Private;HS-grad;Never-married;Other-service;Unmarried;White;Male;35;<=50K
48;Self-emp-not-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;30;>50K
34;?;HS-grad;Never-married;?;Unmarried;Black;Female;35;<=50K
46;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;>50K
26;Private;HS-grad;Married-spouse-absent;Protective-serv;Not-in-family;White;Male;40;<=50K
47;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
21;?;Some-college;Never-married;?;Own-child;White;Female;3;<=50K
65;Private;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Male;40;<=50K
31;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;Black;Male;40;<=50K
38;Private;HS-grad;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;>50K
68;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;<=50K
26;Private;Bachelors;Never-married;Adm-clerical;Other-relative;Asian-Pac-Islander;Female;40;<=50K
42;Private;HS-grad;Divorced;Other-service;Not-in-family;White;Male;40;<=50K
49;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
42;Private;Bachelors;Married-civ-spouse;Adm-clerical;Wife;Asian-Pac-Islander;Female;40;>50K
39;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;65;>50K
31;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
28;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;20;<=50K
36;Private;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female;50;<=50K
42;State-gov;Some-college;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;>50K
62;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
21;Private;HS-grad;Never-married;Farming-fishing;Own-child;White;Male;24;<=50K
21;Private;Some-college;Never-married;Adm-clerical;Own-child;Other;Female;20;<=50K
60;?;HS-grad;Married-civ-spouse;?;Husband;White;Male;40;<=50K
22;Private;Some-college;Never-married;Other-service;Own-child;White;Female;25;<=50K
30;Private;10th;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
64;Private;HS-grad;Widowed;Adm-clerical;Not-in-family;White;Female;40;<=50K
28;Private;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female;28;>50K
41;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
25;Private;HS-grad;Never-married;Craft-repair;Other-relative;White;Male;40;<=50K
27;Private;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;40;<=50K
40;Private;Assoc-acdm;Married-civ-spouse;Tech-support;Husband;White;Male;44;<=50K
58;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
31;Private;Prof-school;Never-married;Prof-specialty;Not-in-family;White;Female;99;<=50K
50;Local-gov;HS-grad;Widowed;Transport-moving;Unmarried;White;Female;40;<=50K
27;Private;HS-grad;Separated;Handlers-cleaners;Unmarried;White;Male;40;<=50K
31;?;HS-grad;Never-married;?;Own-child;Amer-Indian-Eskimo;Male;40;<=50K
50;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;40;<=50K
45;Private;HS-grad;Married-civ-spouse;Protective-serv;Husband;Black;Male;40;>50K
33;Private;12th;Never-married;Protective-serv;Own-child;Black;Male;40;<=50K
62;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Male;40;<=50K
38;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
19;Private;Some-college;Never-married;Other-service;Own-child;White;Female;35;<=50K
30;Private;11th;Married-civ-spouse;Other-service;Wife;Black;Female;30;<=50K
38;Private;Some-college;Divorced;Sales;Own-child;White;Female;25;<=50K
42;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;99;>50K
49;Self-emp-inc;Some-college;Divorced;Sales;Not-in-family;White;Male;25;<=50K
53;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;50;>50K
45;Local-gov;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
24;Private;Some-college;Never-married;Adm-clerical;Own-child;Black;Female;40;<=50K
29;Private;Assoc-voc;Never-married;Adm-clerical;Own-child;White;Female;35;<=50K
24;Private;Some-college;Never-married;Sales;Own-child;White;Female;30;<=50K
38;Federal-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
25;Self-emp-inc;Assoc-voc;Never-married;Transport-moving;Unmarried;White;Male;55;<=50K
51;State-gov;10th;Married-civ-spouse;Craft-repair;Husband;Amer-Indian-Eskimo;Male;40;<=50K
17;?;11th;Never-married;?;Own-child;White;Female;20;<=50K
19;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female;8;<=50K
38;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;52;>50K
60;Private;HS-grad;Divorced;Other-service;Not-in-family;White;Female;40;<=50K
29;Self-emp-not-inc;HS-grad;Never-married;Sales;Not-in-family;White;Male;40;<=50K
66;?;Some-college;Widowed;?;Unmarried;Black;Female;40;<=50K
28;Federal-gov;10th;Married-civ-spouse;Other-service;Wife;Amer-Indian-Eskimo;Female;40;<=50K
36;Private;HS-grad;Married-civ-spouse;Prof-specialty;Husband;White;Male;45;>50K
57;?;HS-grad;Married-civ-spouse;?;Husband;Other;Male;5;<=50K
24;Private;Assoc-acdm;Never-married;Craft-repair;Own-child;White;Male;40;<=50K
43;Private;Assoc-acdm;Never-married;Adm-clerical;Not-in-family;White;Female;38;<=50K
29;Self-emp-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;55;>50K
67;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;25;>50K
20;Private;HS-grad;Never-married;Protective-serv;Own-child;White;Male;40;<=50K
21;Private;Some-college;Never-married;Other-service;Own-child;Asian-Pac-Islander;Male;20;<=50K
20;Private;10th;Never-married;Handlers-cleaners;Own-child;White;Male;40;<=50K
42;Private;Assoc-acdm;Married-civ-spouse;Exec-managerial;Husband;White;Male;60;>50K
20;Private;Some-college;Never-married;Other-service;Own-child;White;Female;10;<=50K
19;Local-gov;HS-grad;Never-married;Adm-clerical;Own-child;White;Male;35;<=50K
34;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;45;<=50K
40;Local-gov;Bachelors;Never-married;Prof-specialty;Unmarried;White;Female;45;<=50K
33;Private;Some-college;Separated;Other-service;Unmarried;Black;Female;25;<=50K
36;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Female;37;<=50K
43;Private;Assoc-acdm;Divorced;Craft-repair;Not-in-family;White;Male;70;>50K
41;Local-gov;HS-grad;Separated;Other-service;Unmarried;Black;Female;40;<=50K
34;State-gov;HS-grad;Married-civ-spouse;Tech-support;Husband;White;Male;40;>50K
33;Private;Assoc-acdm;Married-civ-spouse;Sales;Husband;Other;Male;40;>50K
47;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
41;Private;1st-4th;Married-civ-spouse;Sales;Husband;White;Male;50;<=50K
40;Private;HS-grad;Married-spouse-absent;Craft-repair;Not-in-family;White;Male;40;>50K
28;Private;Bachelors;Never-married;Craft-repair;Own-child;Black;Male;40;<=50K
62;Self-emp-not-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;90;>50K
29;Private;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female;50;<=50K
46;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;40;<=50K
28;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Male;60;<=50K
57;Federal-gov;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female;40;<=50K
22;Private;Some-college;Never-married;Sales;Own-child;White;Female;40;<=50K
28;Local-gov;Assoc-acdm;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
24;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Female;45;<=50K
54;Self-emp-not-inc;Bachelors;Divorced;Farming-fishing;Not-in-family;White;Male;50;>50K
22;Private;11th;Separated;Craft-repair;Not-in-family;White;Male;40;<=50K
36;State-gov;Bachelors;Never-married;Protective-serv;Unmarried;Black;Female;40;<=50K
50;Private;Some-college;Divorced;Adm-clerical;Unmarried;White;Female;40;<=50K
18;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male;24;<=50K
52;State-gov;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male;40;>50K
41;Private;7th-8th;Married-civ-spouse;Other-service;Husband;White;Male;40;<=50K
21;?;HS-grad;Never-married;?;Not-in-family;White;Female;20;<=50K
36;Private;Bachelors;Never-married;Sales;Not-in-family;White;Female;40;<=50K
34;Self-emp-not-inc;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;55;>50K
21;Private;Assoc-voc;Never-married;Craft-repair;Own-child;White;Male;40;<=50K
46;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;White;Male;40;<=50K
57;?;Some-college;Married-civ-spouse;?;Husband;White;Male;40;<=50K
61;Local-gov;Masters;Never-married;Prof-specialty;Unmarried;White;Female;25;<=50K
22;State-gov;Some-college;Never-married;Transport-moving;Own-child;White;Male;25;<=50K
33;?;11th;Divorced;?;Own-child;White;Male;53;<=50K
36;State-gov;Prof-school;Married-civ-spouse;Prof-specialty;Wife;White;Female;50;>50K
43;Local-gov;Masters;Divorced;Prof-specialty;Unmarried;White;Female;40;<=50K
25;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Wife;Asian-Pac-Islander;Female;37;>50K
17;Private;10th;Never-married;Priv-house-serv;Other-relative;White;Male;30;<=50K
45;Private;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;White;Male;38;>50K
30;Private;Prof-school;Never-married;Prof-specialty;Not-in-family;White;Male;80;<=50K
40;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Male;35;<=50K
31;Local-gov;Masters;Never-married;Exec-managerial;Not-in-family;White;Male;45;<=50K
42;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
53;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
37;Private;1st-4th;Married-civ-spouse;Transport-moving;Husband;White;Male;40;<=50K
37;State-gov;HS-grad;Married-spouse-absent;Other-service;Unmarried;White;Female;20;<=50K
54;Private;Some-college;Married-civ-spouse;Sales;Wife;White;Female;40;>50K
36;Private;HS-grad;Divorced;Other-service;Own-child;White;Female;30;<=50K
46;Private;Some-college;Divorced;Adm-clerical;Unmarried;White;Female;40;<=50K
46;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;48;<=50K
32;Private;9th;Married-civ-spouse;Transport-moving;Husband;White;Male;50;<=50K
17;Private;11th;Never-married;Craft-repair;Own-child;White;Male;40;<=50K
42;State-gov;Bachelors;Divorced;Prof-specialty;Not-in-family;Black;Male;40;<=50K
37;Local-gov;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;40;<=50K
29;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;48;<=50K
54;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
38;Private;12th;Married-civ-spouse;Craft-repair;Husband;White;Male;48;<=50K
46;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;40;<=50K
24;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
57;Private;1st-4th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
59;Private;1st-4th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
33;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
35;Private;HS-grad;Divorced;Other-service;Unmarried;Black;Female;40;<=50K
53;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
26;Private;HS-grad;Never-married;Machine-op-inspct;Other-relative;White;Male;40;<=50K
55;Self-emp-not-inc;Masters;Married-civ-spouse;Sales;Husband;White;Male;50;<=50K
46;Private;HS-grad;Separated;Other-service;Not-in-family;Black;Female;45;<=50K
44;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;Amer-Indian-Eskimo;Male;38;>50K
30;Self-emp-not-inc;Assoc-voc;Married-civ-spouse;Sales;Husband;White;Male;60;<=50K
24;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;24;<=50K
32;Private;10th;Married-spouse-absent;Other-service;Not-in-family;Black;Female;37;<=50K
35;Private;Bachelors;Never-married;Sales;Not-in-family;White;Female;40;<=50K
67;Private;Masters;Married-civ-spouse;Sales;Husband;White;Male;30;>50K
56;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;20;>50K
26;Private;Masters;Never-married;Prof-specialty;Not-in-family;Asian-Pac-Islander;Male;20;<=50K
46;Private;Assoc-acdm;Widowed;Tech-support;Unmarried;White;Female;40;<=50K
52;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;48;>50K
38;Self-emp-not-inc;Some-college;Divorced;Craft-repair;Not-in-family;White;Male;40;<=50K
31;Private;HS-grad;Divorced;Sales;Unmarried;Black;Male;50;<=50K
53;Private;HS-grad;Separated;Transport-moving;Not-in-family;White;Male;30;<=50K
27;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;Black;Male;40;<=50K
39;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
22;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Male;40;<=50K
37;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;35;>50K
20;Private;HS-grad;Never-married;Adm-clerical;Own-child;White;Male;30;<=50K
60;Local-gov;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male;40;<=50K
51;Private;Assoc-voc;Divorced;Tech-support;Unmarried;Black;Female;48;<=50K
57;Federal-gov;Prof-school;Divorced;Prof-specialty;Not-in-family;White;Female;50;>50K
59;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;40;>50K
